,address,price,Latitude,Longitude
0,3050 birch hollow dr,1095.0,42.23897849959804,-83.71850497747207
1,912 rose ave,2000.0,51.4124753,-0.1640307
3,1505 natalie lane,1385.0,42.2939505433245,-83.6833615036768
4,1505 natalie lane,1185.0,42.2939505433245,-83.6833615036768
6,1505 natalie lane,1375.0,42.22220078037806,-83.44490161593934
7,310 e. liberty st. apt #2,1235.0,42.23897849959804,-83.71850497747207
8,10910 independence lane,952.0,42.4184296,-71.1061639
9,3050 birch hollow dr,1095.0,41.30368816987742,-101.92617845313801
11,2167 medford,1150.0,42.22220078037806,-83.44490161593934
12,101 lake village,1560.0,29.853534,-95.529008
14,101 lake village,1304.0,42.22220078037806,-83.44490161593934
15,10910 independence lane,859.0,42.22220078037806,-83.44490161593934
16,4873 packard st,955.0,42.248894899999996,-83.74726903728029
17,214 south hewitt,880.0,31.4623902,-97.1958377
18,10910 independence lane,775.0,39.233504,-123.3897308
19,10910 independence lane,790.0,41.57418138612344,-86.54787261514701
20,275 harbor way,1399.0,39.233504,-123.3897308
23,214 south hewitt,970.0,31.4623902,-97.1958377
25,406 montgomery,1290.0,31.4623902,-97.1958377
26,1610 longshore dr.,1475.0,31.4623902,-97.1958377
27,406 montgomery,1290.0,36.05600475642987,-80.29309482236044
29,3050 birch hollow dr,1095.0,42.296231,-83.781087
30,214 south hewitt,1000.0,36.2071354170498,-115.28893900466245
31,214 south hewitt,970.0,42.296231,-83.781087
32,214 south hewitt,880.0,42.296231,-83.781087
33,214 south hewitt,1020.0,42.2449827138505,-83.67153307062043
34,214 south hewitt,860.0,36.05600475642987,-80.29309482236044
38,3089 woodland hills dr,1249.0,42.255379500000004,-83.6740488589607
40,2973 west clark rd,1374.0,41.30368816987742,-101.92617845313801
44,"1645 n maple rd # 309, ann arbor, mi",750.0,42.26804544897959,-83.77355891836734
45,2224 golfside drive,989.0,42.26804544897959,-83.77355891836734
46,"1645 n maple rd # 309, ann arbor, mi",750.0,42.227655,-83.6556897
47,"1645 n maple rd # 309, ann arbor, mi",750.0,42.238664,-83.721835
50,3008 randolph court dr.,933.0,39.233504,-123.3897308
52,3089 woodland hills dr,939.0,42.30154991677406,-83.72719734545764
59,8777 rushside dr,1420.0,42.533949137256215,-83.77743834447756
65,1116 s forest,6000.0,36.05600475642987,-80.29309482236044
79,2201 glencoe hills,1529.0,39.27623780175006,-80.33715248275166
80,2201 glencoe hills,2179.0,39.280559686868685,-76.62924196969698
81,2201 glencoe hills,1149.0,43.654295909090905,-70.27295536363637
85,101 lake village,2000.0,40.016479443818355,-105.2873285265067
86,1980 pauline boulevard,1229.0,40.016479443818355,-105.2873285265067
87,2960 birch hollow dr,1209.0,40.016479443818355,-105.2873285265067
91,1355 s. winter st.,830.0,39.7669336,-86.1320664
92,1980 pauline boulevard,1149.0,41.64851306122449,-83.53569226530612
97,1980 pauline boulevard,1249.0,37.23447737933616,-76.51034187576582
98,2835 roundtree blvd,1079.0,42.227655,-83.6556897
99,2960 birch hollow dr,1179.0,39.86665767014796,-75.2747500548714
101,406 montgomery,1290.0,-28.0219215,153.3373055
102,2820 windwood,1644.0,42.247112,-83.743149
103,406 montgomery,1290.0,42.238664,-83.721835
104,401 s. highlander way,878.0,36.05600475642987,-80.29309482236044
105,1984 traver rd,1469.0,54.9963808,-1.6279574
107,2960 international drive,989.0,42.262155,-83.779853
108,220 n 1st st,1285.0,42.262155,-83.779853
110,212 stevens dr,918.0,42.49685059183673,-83.15981026530612
111,212 stevens drive,818.0,42.262155,-83.779853
112,2911 bynan,859.0,39.2829459,-76.6018054
114,600 hidden valley club drive,1260.0,36.05600475642987,-80.29309482236044
117,321 williamsen dr,1070.0,42.248894899999996,-83.74726903728029
119,1505 natalie ln,1375.0,42.30154991677406,-83.72719734545764
121,201 e madison st,3345.0,40.5117699,-88.9944815
123,615 pearl street,750.0,54.9963808,-1.6279574
125,3089 woodland hills dr,869.0,42.449056451119546,-83.32349758372676
126,1984 traver rd,1419.0,39.2829459,-76.6018054
129,3089 woodland hills dr,939.0,42.238664,-83.721835
130,329 jarvis street,995.0,42.248894899999996,-83.74726903728029
131,2973 w clark rd.,2509.0,51.511027,-0.1222913
132,27883 independence st,1090.0,39.2829459,-76.6018054
133,3050 birch hollow dr,1170.0,37.663947,68.8332062
134,2973 west clark rd,999.0,42.247112,-83.743149
135,2973 west clark rd,1374.0,41.874867,-84.037706
138,1550 brookfield,1579.0,41.759865839275285,-124.2041980888373
139,275 harbor way,1499.0,37.663947,68.8332062
141,329 jarvis street,795.0,39.86665767014796,-75.2747500548714
146,329 jarvis street,1095.0,41.30368816987742,-101.92617845313801
147,101 lake village,1422.0,36.05600475642987,-80.29309482236044
150,12 miles,1195.0,42.26804544897959,-83.77355891836734
151,329 jarvis street,795.0,32.3073622,-86.3458028
152,329 jarvis street,795.0,39.86665767014796,-75.2747500548714
153,958 west cross street,2195.0,42.2939505433245,-83.6833615036768
154,805 congress st.,815.0,36.05600475642987,-80.29309482236044
155,805 congress,1295.0,42.248894899999996,-83.74726903728029
156,705 pearl street,1995.0,36.05600475642987,-80.29309482236044
157,615 pearl street,750.0,52.4264753,-1.91968
158,615 pearl street,675.0,42.247112,-83.743149
159,615 pearl street,695.0,42.26804544897959,-83.77355891836734
160,615 pearl street,695.0,42.238664,-83.721835
161,212 north summit street,1245.0,36.05600475642987,-80.29309482236044
162,207 ballard street,1095.0,38.86304910204081,-104.81806612244898
163,329 jarvis street,1095.0,28.195649821265523,-82.75480659654963
164,9 south summit st.,2095.0,39.2829459,-76.6018054
165,116 north summit street,1695.0,42.07834041735565,-83.69042561583056
166,124 north summit street,1295.0,42.23897849959804,-83.71850497747207
167,125 north summit street,1245.0,28.195649821265523,-82.75480659654963
168,125 north summit street,769.0,42.33124063008032,-83.73236967724208
169,207 ballard street,975.0,28.195649821265523,-82.75480659654963
170,207 ballard street,1045.0,54.9963808,-1.6279574
171,2835 roundtree blvd,969.0,28.195649821265523,-82.75480659654963
172,212 stevens drive,818.0,54.9963808,-1.6279574
174,3050 birch hollow dr,975.0,42.238664,-83.721835
176,2044 mcdivitt ct.,1250.0,28.195649821265523,-82.75480659654963
178,600 hidden valley club drive,990.0,36.2110884345237,-115.28592009907587
179,2960 birch hollow dr,1209.0,36.21111435863092,-115.28590952476897
180,3089 woodland hills dr,1249.0,36.210069,-115.286437
181,1550 brookfield,1579.0,39.27977922576034,-76.62626801204426
183,1980 pauline boulevard,1229.0,42.19403404081633,-83.48415716326531
188,2501 keystone ln,1065.0,42.599924944954125,-83.98879816513762
189,2501 keystone ln,1065.0,42.248894899999996,-83.74726903728029
190,2501 keystone ln,840.0,51.3471617,-0.0447794
191,1409 catalpa dr,1000.0,42.248894899999996,-83.74726903728029
193,2501 keystone ln,840.0,45.0018668,-93.2648453
194,2960 international drive,889.0,42.23897849959804,-83.71850497747207
195,527 virginia ave,2200.0,42.5795203,-74.5882017
196,3089 woodland hills dr,809.0,42.284972,-83.739668
200,221 normal,945.0,42.248894899999996,-83.74726903728029
202,414 s division st,1295.0,36.05600475642987,-80.29309482236044
203,275 harbor way,1885.0,36.05600475642987,-80.29309482236044
205,1082 e chicago blvd,885.0,36.303609376899054,-82.3516509491529
208,1984 traver rd,1469.0,42.238664,-83.721835
210,1245 astor ave,1480.0,NaN,NaN
211,221 normal,995.0,33.75550256375839,-117.85616506711409
212,2835 roundtree blvd,1039.0,33.75550256375839,-117.85616506711409
214,1550 brookfield,1609.0,42.278217847457626,-83.76639676271186
215,1751 cass lake front st,950.0,42.255379500000004,-83.6740488589607
216,27883 independence st,825.0,42.238664,-83.721835
217,2960 international dr.,1019.0,42.238664,-83.721835
219,3089 woodland hills dr,1249.0,54.9963808,-1.6279574
220,2960 international dr.,989.0,36.05600475642987,-80.29309482236044
221,2960 birch hollow dr,1209.0,36.05600475642987,-80.29309482236044
222,275 harbor way,1449.0,36.05600475642987,-80.29309482236044
223,1005 maiden lane,1299.0,41.877684,-84.03765
224,2960 international dr.,959.0,42.2575998,-83.6601296
225,2960 international,999.0,42.30154991677406,-83.72719734545764
226,600 hidden valley club drive,1110.0,42.26804544897959,-83.77355891836734
227,3100 s. winter st.,835.0,54.9963808,-1.6279574
228,1005 maiden lane,1359.0,42.26804544897959,-83.77355891836734
229,1005 maiden lane,1299.0,42.07834041735565,-83.69042561583056
230,140 lauff,980.0,42.23897849959804,-83.71850497747207
233,2960 international,989.0,41.30368816987742,-101.92617845313801
234,212 stevens drive,918.0,42.6764476,-83.2686571
235,212 stevens drive,918.0,54.9963808,-1.6279574
236,212 stevens drive,918.0,42.218558040816326,-83.49401977551021
237,3089 woodland hills dr,939.0,42.255379500000004,-83.6740488589607
238,1550 brookfield,1499.0,42.255379500000004,-83.6740488589607
240,2911 bynan,859.0,42.2939505433245,-83.6833615036768
242,101 lake village,1544.0,42.235222500000006,-83.7552779256812
244,3089 woodland hills dr,809.0,36.05600475642987,-80.29309482236044
245,527 s 4th ave,1295.0,39.9411721,-76.6646042
246,3089 woodland hills dr,1249.0,42.218558040816326,-83.49401977551021
247,1980 pauline boulevard,1249.0,40.6654575,-73.98953125
248,2820 windwood,1644.0,40.7271246,-77.9383368
253,212 stevens dr,918.0,39.090865,-108.5930554
257,1505 natalie ln,1265.0,43.488149117454306,-79.70706039187021
258,3089 woodland hills dr,1249.0,36.05600475642987,-80.29309482236044
259,275 harbor way,1499.0,42.262155,-83.779853
260,3089 woodland hills dr,959.0,42.262155,-83.779853
261,1771 plymouth road,2350.0,51.511027,-0.1222913
267,600 hidden valley club drive,1450.0,31.889930149999998,-97.08708306334233
268,1980 pauline boulevard,1189.0,43.488149117454306,-79.70706039187021
269,2960 birch hollow dr,1179.0,42.247112,-83.743149
270,3089 woodland hills dr,939.0,42.284972,-83.739668
272,324 e jefferson st,1345.0,42.19403404081633,-83.48415716326531
274,3400 nixon rd,2731.0,42.30154991677406,-83.72719734545764
275,2960 international drive,989.0,41.30368816987742,-101.92617845313801
276,140 lauff drive,1030.0,32.3073622,-86.3458028
278,3050 birch hollow dr,1425.0,42.2777291,-83.7423622
279,3400 nixon rd,2003.0,42.227655,-83.6556897
280,4014 gleaner hall,3990.0,54.9963808,-1.6279574
281,3400 nixon rd,1903.0,42.23897849959804,-83.71850497747207
282,1550 brookfield,1579.0,29.967871,-95.447573
283,3400 nixon rd,1626.0,42.284972,-83.739668
285,1550 brookfield,1579.0,41.063713903789285,-80.6865553886436
286,3400 nixon rd,1501.0,36.05600475642987,-80.29309482236044
287,2960 birch hollow dr,1209.0,42.23897849959804,-83.71850497747207
289,518 e william st,2395.0,42.284972,-83.739668
290,3400 nixon rd,1486.0,39.2829459,-76.6018054
291,2001 huron parkway,1195.0,39.2829459,-76.6018054
293,2726 golfside dr.,895.0,36.05600475642987,-80.29309482236044
294,2720 golfside dr.,995.0,39.86665767014796,-75.2747500548714
295,2716 golfside dr.,895.0,42.2777291,-83.7423622
296,520 w. cross st.,1.0,42.2939505433245,-83.6833615036768
297,2973 west clark rd,1074.0,42.2575998,-83.6601296
298,955 sumpter road,1100.0,42.2575998,-83.6601296
301,2973 west clark rd,1374.0,51.4319209,-0.3878479
302,101 lake village,1560.0,32.8406946,-83.6324022
303,2820 windwood,1675.0,42.26804544897959,-83.77355891836734
304,2835 roundtree blvd,939.0,36.05600475642987,-80.29309482236044
305,"3912 mason rd, howell, mi",800.0,39.2829459,-76.6018054
306,275 harbor way,1399.0,42.235222500000006,-83.7552779256812
307,3005 fernwood,1300.0,36.10151114450567,-79.78665269770006
309,275 harbor way,1499.0,42.592353,-83.875311
311,957 sheridan,675.0,39.2829459,-76.6018054
312,957 sheridan,750.0,42.248894899999996,-83.74726903728029
313,3050 birch hollow dr,975.0,55.8979778,-4.1931659
314,"221 n. summit, #3",825.0,42.592353,-83.875311
315,727 e kingsley st,1645.0,42.592353,-83.875311
317,2911 bynan,989.0,42.592353,-83.875311
319,140 lauff,970.0,42.247112,-83.743149
320,"3912 mason rd, howell, mi",800.0,47.09278622769214,-104.71547615117127
322,275 harbor way,1499.0,42.6764476,-83.2686571
323,1245 astor ave,1923.0,61.19578600434314,-149.92394111680545
324,3089 woodland hills dr,1249.0,42.284972,-83.739668
325,3089 woodland hills dr,959.0,40.7570766,-111.8883255
326,554 s 5th ave,1045.0,28.195649821265523,-82.75480659654963
327,525 w. highland rd,921.0,42.0042583,-83.9351862
330,514 emmet street,800.0,41.0722499,-85.1480652
333,1245 astor avenue,1590.0,28.195649821265523,-82.75480659654963
334,2960 birch hollow dr,1209.0,39.86665767014796,-75.2747500548714
335,2960 birch hollow dr,1029.0,36.303609376899054,-82.3516509491529
337,213 w. mosley apartment 11,1285.0,39.86665767014796,-75.2747500548714
338,1020 lincoln ave.,1890.0,28.195649821265523,-82.75480659654963
339,1020 lincoln ave.,1190.0,39.2829459,-76.6018054
340,211 n. ashley,2500.0,42.23897849959804,-83.71850497747207
341,428 ventura ct.,1575.0,52.2630154,4.5002673
342,2201 glencoe hills,1529.0,42.449056451119546,-83.32349758372676
355,2960 birch hollow dr,1209.0,42.592353,-83.875311
359,2960 birch hollow dr,1009.0,-28.0219215,153.3373055
360,1005 maiden lane,1499.0,41.30368816987742,-101.92617845313801
362,1550 brookfield,1579.0,41.759865839275285,-124.2041980888373
364,3089 woodland hills dr,959.0,42.2773296,-83.6987596
373,3089 woodland hills dr,1249.0,42.238664,-83.721835
374,3089 woodland hills dr,939.0,42.255973050937456,-83.58992718554644
375,1355 s. winter st.,830.0,42.26004632458116,-83.58965246348461
376,2911 bynan dr.,989.0,40.549703078263384,-74.46532687229977
377,1984 traver rd,1229.0,51.4969493,-0.3718715
379,1980 pauline boulevard,1189.0,42.19403404081633,-83.48415716326531
382,1550 brookfield,1579.0,42.6764476,-83.2686571
383,1980 pauline boulevard,1149.0,51.5865078,-4.0059735
385,140 lauff drive,1030.0,32.3073622,-86.3458028
386,3050 birch hollow dr,1150.0,42.238664,-83.721835
387,2960 international drive,969.0,51.5186292,-0.3625822
390,1980 pauline boulevard,1189.0,54.9963808,-1.6279574
391,101 lake village,2251.0,42.23897849959804,-83.71850497747207
392,2911 bynan,899.0,42.30154991677406,-83.72719734545764
394,1550 brookfield,1549.0,36.05600475642987,-80.29309482236044
395,11551 quirk rd,1095.0,42.247112,-83.743149
396,2201 glencoe hills,2179.0,42.270521349999996,-83.7434066502381
398,2201 glencoe hills,1529.0,42.228516,-83.655013
399,2201 glencoe hills,1149.0,39.2829459,-76.6018054
402,1505 natalie lane,1215.0,42.07834041735565,-83.69042561583056
404,3100 s. winter st.,835.0,42.262155,-83.779853
405,1315 oak valley drive,1420.0,42.262155,-83.779853
406,11551 quirk rd,865.0,42.2773296,-83.6987596
407,3089 woodland hills dr,939.0,54.9963808,-1.6279574
409,4685 hunt club dr.,1250.0,42.2773296,-83.6987596
410,11551 quirk rd,1210.0,42.262155,-83.779853
411,554 s 5th ave,1499.0,42.58634774829932,-83.87411547619048
413,525 fairbrook,900.0,42.30154991677406,-83.72719734545764
414,3089 woodland hills dr,1249.0,37.30009012244898,-77.29057655102041
415,2345 woodridge way,1109.0,39.86665767014796,-75.2747500548714
418,1700 s west ave,855.0,39.86665767014796,-75.2747500548714
419,2045 commerce blvd,1049.0,39.86665767014796,-75.2747500548714
420,2045 commerce blvd,1049.0,39.86665767014796,-75.2747500548714
421,2045 commerce blvd,1049.0,39.86665767014796,-75.2747500548714
422,1005 maiden lane,1499.0,39.86665767014796,-75.2747500548714
423,1005 maiden lane,1499.0,42.248894899999996,-83.74726903728029
424,2345 woodridge way,919.0,42.2777291,-83.7423622
426,3089 woodland hills dr,939.0,39.2829459,-76.6018054
427,2501 keystone ln,840.0,42.25716430493183,-83.66665788731203
428,2501 keystone ln,840.0,42.25716430493183,-83.66665788731203
429,1005 maiden lane,1359.0,42.25716430493183,-83.66665788731203
430,518 e william st,3795.0,42.25716430493183,-83.66665788731203
431,2501 keystone ln,1065.0,42.25716430493183,-83.66665788731203
432,2501 keystone ln,1065.0,42.27459941028353,-83.67298967608583
433,3050 birch hollow dr,1150.0,36.303609376899054,-82.3516509491529
436,1980 pauline boulevard,1149.0,51.511027,-0.1222913
437,1519 abbott,1650.0,42.25716430493183,-83.66665788731203
443,2345 woodridge way,1109.0,42.227655,-83.6556897
446,600 hidden valley club drive,1110.0,42.227655,-83.6556897
448,727 e kingsley st,1645.0,36.05600475642987,-80.29309482236044
449,275 harbor way,1499.0,42.30154991677406,-83.72719734545764
452,955 sumpter road,1100.0,37.2701422,-76.4241138
454,1505 natalie lane,1380.0,42.28532175510204,-83.74940357142857
455,1984 traver rd,1229.0,42.281278262626266,-83.74069102020202
456,101 lake village,1952.0,42.281278262626266,-83.74069102020202
460,2820 windwood,1644.0,42.0042583,-83.9351862
465,2960 birch hollow dr,1209.0,42.2575998,-83.6601296
466,518 e william st,1825.0,42.25495460431768,-83.67380888701187
467,2835 roundtree blvd,959.0,42.2939505433245,-83.6833615036768
469,1550 brookfield,1579.0,42.248894899999996,-83.74726903728029
471,3050 birch hollow dr,1210.0,38.864204,-104.819825
472,1632 laurel bay drive,770.0,39.2829459,-76.6018054
474,727 e kingsley st,1795.0,42.592353,-83.875311
475,2960 international drive,989.0,42.592353,-83.875311
477,2976 cascade drive,1155.0,39.9411721,-76.6646042
480,3089 woodland hills dr,1249.0,NaN,NaN
483,3050 birch hollow dr,1150.0,50.05162285,8.5934192991883
484,125 west hoover avenue,1030.0,42.27186275,-83.7508928
488,727 e kingsley st,1645.0,51.4618,-0.8024977
492,2960 international dr.,1019.0,41.681729,-86.35012
494,2960 international drive,839.0,42.7070354,-71.1631137
495,275 harbor way,1399.0,42.592131210861886,-83.59027293929707
498,3089 woodland hills dr,1249.0,37.8277995,-100.4545927
499,212 stevens drive,938.0,42.248894899999996,-83.74726903728029
502,518 e william st,3495.0,41.759865839275285,-124.2041980888373
503,1505 natalie lane,1320.0,42.592353,-83.875311
504,2911 bynan dr.,899.0,42.592353,-83.875311
506,2911 bynan dr,839.0,42.592353,-83.875311
507,1984 traver rd,1379.0,42.592353,-83.875311
508,518 e william st,3495.0,40.859876666666665,-73.85145933333332
510,22250 swan road,895.0,39.2829459,-76.6018054
513,9935 macon,650.0,42.31993257142857,-83.713959
515,1980 pauline boulevard,1249.0,42.294017,-71.81457
516,3089 woodland hills dr,939.0,37.61586522053286,-120.98576568757426
517,2960 international drive,989.0,36.832882,-76.152287
518,1315 oak valley dr,1285.0,42.255379500000004,-83.6740488589607
523,205 s state st,2245.0,43.05490999422551,-94.22381036686889
525,22250 swan road,810.0,42.285222653061226,-83.74940814285713
529,3998 audrey rae lane,1225.0,42.248894899999996,-83.74726903728029
531,1550 brookfield,1499.0,42.262155,-83.779853
532,2960 international drive,899.0,42.262155,-83.779853
533,275 harbor way,1499.0,42.262155,-83.779853
534,1550 brookfield dr,1359.0,42.36459564864865,-83.44568182432432
535,3998 audrey rae lane,1165.0,42.36459564864865,-83.44568182432432
536,3998 audrey rae ln.,1200.0,42.248894899999996,-83.74726903728029
537,3998 audrey rae lane,1165.0,42.449056451119546,-83.32349758372676
538,3998 audrey rae lane,1165.0,42.61367487033016,-83.34652041001483
539,3998 audrey rae lane,1165.0,52.4264753,-1.91968
540,600 hidden valley club drive,1450.0,38.864204,-104.819825
542,519 snyder avenue,99.0,41.474478714285716,-93.678707
543,4770 downing drive,99.0,42.19403404081633,-83.48415716326531
544,2911 bynan,859.0,42.270521349999996,-83.7434066502381
546,2120 churchill drive,199.0,41.063713903789285,-80.6865553886436
547,727 e kingsley st,1795.0,40.11671391408905,-76.51809509581307
548,2225 s state street,2059.0,39.05946099621044,-108.56384717841014
550,3400 nixon rd,2731.0,42.30154991677406,-83.72719734545764
552,1082 e chicago blvd,885.0,41.063713903789285,-80.6865553886436
553,2960 international drive,989.0,47.6984557,-2.1548088
554,3400 nixon rd,2003.0,51.511027,-0.1222913
555,1417 broadway #1,3100.0,33.128064973065726,-87.1300307970334
556,1006 pontiac trail #1,1500.0,42.28532175510204,-83.74940357142857
557,1427 broadway,3000.0,41.877684,-84.03765
558,3400 nixon rd,1903.0,42.248894899999996,-83.74726903728029
559,212 stevens dr,838.0,42.262102,-83.792213
560,525 w. highland rd,921.0,41.30368816987742,-101.92617845313801
561,2960 international dr.,1019.0,42.285222653061226,-83.74940814285713
562,212 stevens dr,918.0,42.28532175510204,-83.74940357142857
563,3400 nixon rd,1626.0,28.097330588521448,-97.21048578469527
564,2960 international dr.,819.0,51.511027,-0.1222913
566,3050 birch hollow dr,1150.0,51.511027,-0.1222913
568,12 miles,1195.0,42.07834041735565,-83.69042561583056
569,27883 independence st,1090.0,42.2594158,-83.7108296
571,3400 nixon rd,1501.0,-31.9525017,116.0573162
572,275 harbor way,1499.0,42.284972,-83.739668
577,3400 nixon rd,1486.0,42.2556282,-83.6892169
581,1014 church st,1695.0,42.248894899999996,-83.74726903728029
582,1863 collins ct,999.0,42.504752,-83.6317486
586,1980 pauline boulevard,1149.0,41.30368816987742,-101.92617845313801
588,309 washtenaw,1050.0,52.3510015,10.7724046
590,518 e william st,1740.0,42.30154991677406,-83.72719734545764
592,1837 davis st,999.0,42.592353,-83.875311
593,2960 international,999.0,40.859876666666665,-73.85145933333332
594,3050 birch hollow dr,975.0,42.07834041735565,-83.69042561583056
595,1315 oak valley drive,1340.0,42.609417,-83.953736
596,3998 audrey rae ln.,1165.0,42.23897849959804,-83.71850497747207
597,3998 audrey rae ln.,1200.0,55.8979778,-4.1931659
598,3050 birch hollow dr,1210.0,42.2449827138505,-83.67153307062043
599,1100 hunters run dr,1799.0,28.195649821265523,-82.75480659654963
600,2044 mcdivitt ct,1364.0,28.195649821265523,-82.75480659654963
605,101 lake village,1560.0,28.195649821265523,-82.75480659654963
